Program Acronym,Program Full Name,User Facility Acronym,User Facility Full Name,User Facility Host Institution Acronym,User Facility Host Institution Name,Project/Experiment Title,Project/Experiment Type,Home Institution Name,Home Institution City,Home Institution State/Province/Territory,Home Institution Country,Industry?,Home Institution Type
HEP,High Energy Physics,FACET-II,Facility for Advanced Accelerator Experimental Tests II,SLAC,SLAC National Accelerator Laboratory,E-339 - PetaVolts per meter plasmonics using engineered materials,Non-Proprietary,Powerbeam Inc.,Mountain View,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Ground-Based Observations for Validation (GBOV),Non-Proprietary,ACRI-ST,Sophia-Antipolis,Provence-Alpes-Côte d'Azur,France,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Annual low-cost radio-meteorological sensing,Non-Proprietary,Arable Labs,Princeton,NJ,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Measurement and ClearSky model in situ calibration,Non-Proprietary,Arable Labs,Princeton,NJ,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Contrails research,Non-Proprietary,Boeing Company,Chicago,IL,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,High Altitude Infrared Image Collection,Non-Proprietary,Toyota Research Institute of North America (TRINA),Palo Alto,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Fluxes of AerosoL Continuous Observing Network,Non-Proprietary,Handix Scientific LLC,Boulder,CO,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Analysis of Cloud Top Inversion Based on Long-term Radiosonde Meteorological Data,Non-Proprietary,"Shanghai Kupus Technology Co., Ltd.",Shanghai,Shanghai,China,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Ground-Based Observations for Validation (GBOV) of Copernicus Global Land Products,Non-Proprietary,ACRI-ST,Sophia-Antipolis,Provence-Alpes-Côte d'Azur,France,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Fast Water And Temperature Balloon Flights in Fall,Non-Proprietary,Nikira Labs Inc.,Mountain View,CA,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Arable CalVal,Non-Proprietary,Arable Labs,Princeton,NJ,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Surface energy balance closure studies in the Upper Colorado River Basin to support boundary layer theory and land-atmosphere interactions research in complex terrain,Non-Proprietary,"Atmospheric and Environmental Research, Inc.",Lexington,MA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,SkyFlow,Proprietary,Solstice AI,,VIC,Australia,Yes,Non-U.S. Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Improving iSnobal for operational resource management,Proprietary,M3Works,Boise,ID,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,TWST Instrument Development,Non-Proprietary,"Aerodyne Research, Inc.",Billerica,MA,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Fast Water And Temperature Balloon Flights in Fall,Non-Proprietary,Nikira Labs Inc.,Mountain View,CA,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Weather influence on shallow soil gas CO2,Non-Proprietary,Trihydro Corporation,Laramie,WY,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Global precipitation estimation,Non-Proprietary,Google Inc.,Mountain View,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Clouds and the Earths Radiant Energy System (CERES) Science Team,Non-Proprietary,Adnet Systems,Bethesda,MD,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Greenland Climatology - Flyability of Drones,Non-Proprietary,Menapia,Leeds,,United Kingdom,Yes,Non-U.S. Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,High Altitude Infrared Image Collection,Non-Proprietary,"Toyota Motor Engineering & Manufacturing North America, Inc.",Ann Arbor,MI,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Fundamentals of low-cost aerosol sensor design and operation,Non-Proprietary,Chevron Energy Technology Company,San Ramon,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Coast-Urban-Rural Atmospheric Gradient Experiment (COURAGE) NOx Deployment,Non-Proprietary,"Aerodyne Research, Inc.",Billerica,MA,United States,Yes,Small Business
